Name of affiliated standard sample;Test mode;Light source/angle;L*;a*;b*;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm
-;M0;D50/2°;37,17;0,4;-60,87;16,89;23,76;28,85;35,17;44,6;51,8;53;50,42;44,97;37,34;29,27;22,29;16,82;13,03;10,26;7,29;4,33;2,49;2,44;3,34;3,42;2,97;2,75;2,8;3,2;4,08;4,97;5,03;4,2;3,44;2,87
-;M0;D50/2°;29,09;23,64;-30,67;15,69;18,82;19,46;19,45;19,09;18,27;16,77;14,61;11,96;9,14;6,74;5,15;4,39;4,31;4,47;4,41;4,13;4,1;4,81;6,24;7,7;8,5;8,4;8,41;9,08;10,33;11,73;12,9;13,71;14,44;15,12
-;M0;D50/2°;78,78;21,11;84,54;5,17;4,13;3,67;3,63;3,44;3,58;4,03;4,72;6,5;10,86;19,03;30,03;41,23;48,87;50,9;49,04;46,34;46,34;54,03;70,1;85,08;92,21;93,07;92,36;91,64;91,24;90,58;90,59;91,14;92,23;93,78
-;M0;D50/2°;66,06;-53;31,18;10,37;11,07;11,29;11,38;11,01;11,45;13,28;16,35;21,65;30,45;42,65;55,36;64,43;65,33;57,56;45,13;32,18;21,57;16,31;16,36;18,22;19,21;18,84;18,13;17,48;17,22;17,5;18,24;19,12;19,88;20,48
-;M0;D50/2°;43,9;12,92;27,09;3,87;4,45;4,65;4,53;4,19;4,22;4,81;5,75;7,05;8,74;10,62;12,13;12,81;12,49;11,61;10,72;10,15;10,41;12,46;16,28;19,87;22,25;23,44;23,91;24,08;24,37;24,61;25;25,46;25,98;26,54
-;M0;D50/2°;58,92;-30,41;-54,38;34,69;44,67;52,18;60,92;73,37;83,6;87,51;87,26;84,09;78,65;71,73;64,25;55,41;45,12;34,63;24,5;15,53;9,3;7,11;7,42;7,29;6,86;6,9;6,84;6,9;7,65;8,7;9,12;8,58;7,98;7,4
-;M0;D50/2°;47,21;65,2;13,55;12,29;14,25;14,32;13,52;12,38;11,41;10,67;9,8;8,9;8,26;7,66;6,5;5,07;4,35;4,54;4,62;4,22;4,5;7,74;15,97;28,85;45,48;62,18;74,81;82,29;87,17;89,26;89,98;89,58;89,02;88,4
-;M0;D50/2°;53,98;55,27;43,77;4,78;5,14;5,16;4,79;4,32;4,38;5,02;5,93;7,16;8,89;10,75;11,68;11,39;10,33;9,23;8,27;7,61;8,68;14,49;26,6;41,69;57,39;71,31;81,13;86,39;89,45;90,26;90,41;90,09;89,85;89,71
-;M0;D50/2°;38,44;-16,77;18,49;3,7;4,19;4,36;4,29;4,02;4,06;4,57;5,41;6,69;8,56;10,88;12,99;14,29;14,37;13,38;11,75;10,01;8,61;7,91;7,9;8,11;8,3;8,41;8,39;8,28;8,25;8,3;8,49;8,74;9;9,23
-;M0;D50/2°;44,44;-33,44;24,78;4,33;4,51;4,55;4,47;4,16;4,21;4,87;6;7,97;11,28;15,89;20,64;23,98;24,45;21,99;17,77;13,2;9,43;7,58;7,68;8,42;8,81;8,7;8,45;8,19;8,04;8,08;8,3;8,59;8,86;9,08
